夜航星(00:04:59): 东哥你要不要叫一下张凯？
夜航星(01:44:34): 他我们分别设置有效期。

张凯(01:44:39): 这里有，比如说有效期30天，它是不是表示着顾客发放给顾客那天开始计时？

夜航星(01:44:50): 对不是我看一下是哪里？

张凯(01:44:54): 如果说你从新建这一天开创建这天开始就不对了！

夜航星(01:45:01): 这个逻辑我有点忘了得走一下才知道。

张凯(01:45:09): 我继续开单。

夜航星(01:45:27): 差不多了。

张凯(01:45:36): 还是不可用！

夜航星(01:45:43): 这一张我确实还没测过，我测的是护理项目50元代金券，我是测过的。

张凯(01:45:50): 是哪一个？发放一下，看看发放。未使用，已使用。我再看一下。

夜航星(01:46:17): 那得选护理项目？

张凯(01:46:29): 这里展示的逻辑好像有这个展示的逻辑？这个数据从哪来的？

夜航星(01:46:41): 跟商品管理那边是一。

张凯(01:46:45): 那它这个名称怎么怎么叫单单次体验是啥意思？

夜航星(01:46:50): 它规格是单次提。可能数数数据导的不是很？

张凯(01:46:56): But. 这里应该展示的是商品名称？

夜航星(01:47:02): 到时候应该会这样子商品名称，比如括号单次体验。

张凯(01:47:09): 然后还有次数嘛？

夜航星(01:47:12): 次数是另外一个字段。

张凯(01:47:17): 次数也会展示嘛，像。比如说有的，比如说我按吉利。安吉利。你看，净肤修颜套对，你看它那个6次卡和这个10次卡，它就是展示不同的两张，然后刚刚我看的那个怎么又并到一块去了？

夜航星(01:47:44): 理论上是会并到一块的？

张凯(01:47:53): 这对这里又并到一块儿来了。

夜航星(01:47:58): 我现在设计它是要并到一块的。

张凯(01:48:02): 要并到一块的，它是你是设计根据哪个字段来并到一块的？

夜航星(01:48:03): 对。可能数据没导，我也不是很清楚里面细节。

张凯(01:48:10): 呵！所以我看他有了病的，有的没病。

夜航星(01:48:17): 就反正这个到时候要你们那边过一遍，你们那边导入，那我现在只能去带脚本去导一下数据。

张凯(01:48:21): 这里有了有项目去了，这里是优惠50他就是在这里减免50没错。

夜航星(01:48:36): 右下角。

张凯(01:48:41): 这里应付金额是自己改能设置权限吗？这个要权限的？

夜航星(01:48:44): 可以改。谁能开单谁就能设这个权限，谁就能改！

张凯(01:48:54): 好不是是有时候我们禁止修改价格的！

夜航星(01:49:00): 禁止修改那你给他写死了，那到底哪些人要可以改，你们不是说可以那个改价的吗？

张凯(01:49:06): 是可以改价的。这个是作为一个权限开关可能平常不。

夜航星(01:49:19): 这做不到这么细权限做不到这么细，相当于 UI 的某个表单的某某个填那个字段的权限，这好细，这个权限。

张凯(01:49:23): 不到细！

夜航星(01:49:39): 现在是按模块去划分权限。

张凯(01:49:43): 按模块划分权限。那不能让他们做优惠，因为禁止他们随意改价。

夜航星(01:49:51): 这个要禁止，只能禁掉？

张凯(01:49:57): 就以后都打不开了吗？都填不了优惠了。

夜航星(01:50:01): 填不了。到底哪些人要可以改？

张凯(01:50:14): 但是它不是它这里的字段应该匹配商品管理面商品管理里面增加那个。我们增加组合套餐的时候，它有一个优惠字段？

夜航星(01:50:27): 有个会员价。

张凯(01:50:32): 有个会员价。那它和这里就对不上了嘞。

夜航星(01:50:36): 不一样，这本本身就不一样，商品那边它是标准规格的，这个是每个订单的特。的独有字段？

张凯(01:50:46): 到那这一列原价它提取的是哪一个？

夜航星(01:50:51): 原价是那边的？

张凯(01:50:53): 提取的是哪一个字段是标价还是会员价？

夜航星(01:50:58): 就是会员就会员价，如果是不是会员就标价？

张凯(01:51:07): 这里会员就会员价？如果是会员就提取的会员价。会员价。

张凯(01:51:32): 应付金额是手动改？回复金额。

张凯(01:52:10): 那这个优惠怎么处理？

夜航星(01:52:12): 哪个优惠怎么说？

张凯(01:52:14): 应付金额。

夜航星(01:52:21): 你你这边能确定到底哪些人可以改价，哪些人不可以改吗？

张凯(01:52:29): 我们不是以人为为来区分的？

夜航星(01:52:31): 是以什么区分？

张凯(01:52:33): 我们是以项目来区分的。

夜航星(01:52:39): 项目。你就项目区分，有些项目可以改，有些项目不可以改。

张凯(01:52:47): 你看对我你看那个。

夜航星(01:52:56): 项目区分可以加个字段可以的，这比以人区分要简单一点。

张凯(01:53:05): 你看哈我打开给你展示一下。你看我这里有设了一个操作约束。我分了类别的就是能看得到，就根据是否是顾客家属，或者说哪个市场的哪是哪个区域的人，然后哪个品相像这几个。

张凯(01:53:36): 这几个项目类品相分类，它就是可以做优惠。除了这个以外，它就全部都这个字段，它都不能编辑。

夜航星(01:53:40): 那可以商品那边加个字段，可不可编辑是否可编辑加个字段？

张凯(01:53:58): 可以因为因为和我这个逻辑是一样的？提交订单，你已经有订单了，开完单之后，看到这个标签要补充一下。

夜航星(01:54:18): 啥标签。

张凯(01:54:19): 开单这些标签什么售后售前售后，然后是否是活动？

夜航星(01:54:30): 是否是活活动是否是活动，这个是可以推出来的？

张凯(01:54:39): 推不出来吧，他一我们卖同样一个东西，有时候是我们说的活动是指名媛会，比如说大家聚聚集到一起，我们搞个会议，然后。

夜航星(01:54:51): 一个订单还要确定它是不是活动？

张凯(01:54:56): 活动场会议就是你想的会把顾客聚集在一起去，我们去做。感恩顾客，或者说做一些活动嘛！

张凯(01:55:13): 这个字段就我标。

夜航星(01:55:13): 那我这两个字段都放在订单类型那边可以吗？多？是不行，没事，那给订单加字段嘛。

张凯(01:55:21): 放在订单类型。然后我发群里你你记一下。

夜航星(01:55:29): 是否拿到。是否纳克药吗？

张凯(01:55:36): 然后我框上来斯瓦纳克你可以实现就不需要了，因为我们是原来我不想去判断它是不是。成为会员的那一次就是首次成为会员，那你后面你可以根据判断了你那就不用让他们去选了，就是不是满足那个单笔一1990就是成为会员的那一单吗？

夜航星(01:55:50): 对。

张凯(01:56:05): 你要增加一个标签。判断他是否是从非会员转换成非会员的那一单。

夜航星(01:56:21): 会员转换成非会员那一单。这里要判断吗？这可以事后判断吗？

张凯(01:56:24): 事后判断也可以对开单的时候不判断，因为他要付完钱才能判断嘛，我们原来是人为的了，就前台选一下是不是你现在？

张凯(01:56:42): 现在我们这可以判断的话就不用那个，这是开单，开完单之后订单管理的话，那刚刚那些标签就要在这里增加。

张凯(01:56:57): 因为还有一个顾客姓名嘛，顾客姓名？

夜航星(01:56:59): 对没加全对，加顾客姓名。

张凯(01:57:05): 然后顾客你有给顾客做顾客的编号吗？

夜航星(01:57:11): 有那继承过来的。

张凯(01:57:14): 那这里能展示出来吧？

夜航星(01:57:17): 可以展示出来就有点挤不下了。

张凯(01:57:19): 对。挤不下订单编号类型。

夜航星(01:57:28): 你你不需要展示那么多顾客信息，姓名手机号你可以点进去看点进去好像。

张凯(01:57:39): 他不用你后台数据组的专门做数据的人，他不需要点进去，他批量导出来就好了。

夜航星(01:57:46): 跟导出。

张凯(01:58:01): 顾客姓名手机号，顾客编号。这里这里没有导出功能哈！

夜航星(01:58:14): 没有。

张凯(01:58:16): 这里订单管理。这里要增加导出的功能。然后。

夜航星(01:58:27): 导出公导出你们可以连数据库导吗？

张凯(01:58:35): 连数据库导怎么连数据库在哪里？

夜航星(01:58:45): 就但是可以接外接数据源的吗？

夜航星(01:58:51): 连上就可以倒了？

张凯(01:58:56): 在这里增加比较困难？

夜航星(01:58:58): 增加就反正是个功能困难不是困难问题就是就很多是功能就有开发时间。

邵冬(01:59:18): 只是极少次数要用到的东西就没必要做成功能，就这么个意思，你你也就用了一次两次，你说你要给它开发成一个功能，那没必要。

张凯(01:59:18): 我倒。

张凯(01:59:34): 导出还是很频繁的？

邵冬(01:59:38): 导出是频繁的。你导出导入是在不同的地方，那你这里如果要做导入，相当有个功能要做开发，如果只是单次用到的话就没必要。

张凯(01:59:56): 导出那前面讨论的最开始的时候这个数据能连到发去不了。

夜航星(02:00:11): 邵冬拨个话给外地的数据员吗？

邵冬(02:00:13): 你你现在是可以之前就跟你说过，就是一开始不要用，你不是一开始不是用那个惯性数据开发的吗？然后我说要转成惯性数据库，到时候你把。

邵冬(02:00:28): 先测一下。

张凯(02:00:35): 如果你能回血过去，那我们就在我们发现导。

夜航星(02:00:37): 不灰心，真不灰心。

邵冬(02:00:39): 不回血不要回血，但是你那库存那个方案可能是要回血。

夜航星(02:00:44): 库存回血，别的不回血。

张凯(02:00:48): 订单也不回血吗？

夜航星(02:00:49): 订单不可以写？

张凯(02:00:52): 那不回血，那你肯定要你不管是在哪里，你肯定要给一个导出的功能，不然各个市场的负责区那个数据的人，他怎么去看导出这些数据。

夜航星(02:01:02): 你你就订单要导出，还有什么要导出吗？

张凯(02:01:06): 订单服务单都要导出！

夜航星(02:01:08): 可以这两个加个导出功能！就根据筛选结果导出？

张凯(02:01:11): 对。

夜航星(02:01:17): 导出字段你要给我表头。

张凯(02:01:22): 表头可以！

夜航星(02:01:23): 表头和展示的都得给我。

张凯(02:01:29): 可以营业额分配这里有也有个问题要纠正一下分配这里添加人员之后。关联明细我找个促销方案。这里。比如说我选。这里人员就有规则吗？这里人员按道理。

夜航星(02:02:10): 对就美容师推广师养就那有标签的都可以选。

张凯(02:02:17): 区域区域有规则划分吗？

夜航星(02:02:19): 区域有不可那根根据根据门店来的。

张凯(02:02:25): 但是，就我登录了这个账号，它属于哪家门店，然后就能够选择到本。

夜航星(02:02:33): 对。

张凯(02:02:36): 你好像是上级？没关系。

夜航星(02:02:45): 这应该门店就数据量应该门店的？

张凯(02:02:51): 因为我不认识这些人，我不知道他是属于哪些部门推广员，按道理就是本区域所有的推广员，然后美容师就是本店的美容师。能排序排一下吗？

夜航星(02:03:04): 排序你要什么排序，很滋润。

张凯(02:03:07): 按职位排序了，你看这里美容师到推广员又到美容师。

夜航星(02:03:12): 走可以。

邵冬(02:03:14): 只会排序那你你有顺序吗？就是同类的合在一起？

张凯(02:03:20): 那你就给你那分，你给他放一堆嘛，那美容师分散在好几个角落。

邵冬(02:03:27): 有个分歧可以。

张凯(02:03:30): 对你无所谓什么推广是还是养生，是放上面放下面，反正同职位的放一堆就好了。

张凯(02:03:40): 然后角色诶，我这里选了，假如我选一个美容师角色自动跳了，这里角色就不用再选了吧，给他设死就好了吧。

夜航星(02:03:51): 你不是说有两个职位吗？

张凯(02:03:57): 两个紫薇两个职位那也不能在这里选角色吧？

夜航星(02:04:03): 就你你的就他美容师不就不可以推广了？

张凯(02:04:13): 美容师也可以推广，那最后你算提成是以哪个来算嘞，以以你选的吗？

夜航星(02:04:19): 那理论上不是要给他加两个吗？他既应该收推广那份钱也应该收美容师那份钱？

张凯(02:04:31): 就比如说我选了万喜。然后我这里角色选择推广时，他就是拿了推广时的提成？

夜航星(02:04:39): 对。

张凯(02:04:43): 美容师他就拿美容师的提成。

夜航星(02:04:46): .. 我前面那个员工好员工的逻辑是就是本门店的所有员工，目前的逻辑是这样的。

张凯(02:04:58): 本门店不，你像那测试员是属于哪个电脑？

夜航星(02:05:04): 测试员？

张凯(02:05:06): 他还能看到自己的总监，不是本门店吧？

夜航星(02:05:11): 这个是本门店。不然不会只有这么些人！

张凯(02:05:19): 我怎么看我这个账号是属于哪一个？哪个部门？

夜航星(02:05:28): 等一下好像没有做出来是。

夜航星(02:05:39): 总部。

张凯(02:05:41): 是属于总部，那我给他假如我改一下。那我给他假如我改一下哈。

夜航星(02:05:56): 啥好像是根据订单的门店。根据订单门店跟这个还没有关系。

张凯(02:06:05): 跟订单的门店，那我刚刚分配的是哪个市了吗？对九江的？分配添加选择换起。这里要改一下这里。我们不用直接算他的提成要算吗？

夜航星(02:06:36): 这算一个，他自动算的。

张凯(02:06:38): 我说的我们前面讨论的分配是指的，比如说我这里总共这个项目是比基尼，这个是98，我指的是我给他分配九十还是80还是60？

夜航星(02:06:47): 对。

张凯(02:06:54): 不是是指的给他分配多少提成？打比方说我同样也是比基尼，我另一个美容师他俩分配加起来只能等于98，比如他是68，那么他就是他就分配30他是分业绩。

夜航星(02:07:16): 不是提成比例是根据提成矩阵规定的。

张凯(02:07:22): 你的意思在这里就算起什么，那比例是固定的，假如是他俩，他们是13的比例。

夜航星(02:07:24): 对。固定可以改，那边有对应的数据，这里是可以回填的。

张凯(02:07:35): 但是这里。这里要回填，这里不能让他们改对，因为提成标准我们都是有一个提升矩阵都设定好了？

夜航星(02:07:42): 不能改对。

张凯(02:07:51): 这里就少了一个东西。

夜航星(02:07:54): 少了啥。

张凯(02:07:56): 找到我分配业绩是多少？

夜航星(02:07:59): 金额就分配业绩是多少？

张凯(02:08:02): 对可能我98块钱我给他，我给这个万琴，我分68给刘紫玲分30。

夜航星(02:08:10): 你分配多少，不是按照提成比例来的吗？

张凯(02:08:12): 对我是分业绩。那我要分业绩，比如说顾客消费了1万块钱，他同时是两个美容师服务的一人分5000，然后再去算。

夜航星(02:08:24): 那是服务单？

张凯(02:08:29): 不是服务单位，我怎么会服务单是只能选一个人？

夜航星(02:08:30): 你你分配业绩啥意思就是分配业绩不是根据提成比例来的吗？

张凯(02:08:44): 但是提成，比如说总共我假如1万块钱提成是13%总共1300，我会把1300可能分分给2.3个美容师。

夜航星(02:08:58): 一天2/3到三个美容师。不是每个美容师分配多少？就相当于美容师加起来是等于提成比例？

张凯(02:09:27): 对的他俩加起来。

夜航星(02:09:29): 这个勾稽关系不好弄了，不好弄。

邵冬(02:09:35): War. 这个张总你我觉得你还是守钱算了！

夜航星(02:09:36): 要验证在构图方面需要验证。

张凯(02:09:42): 你少填，你得给我加一个空格进去！你不得在提成比例前面加一个给他分配多少业绩吗？是少填。我表达清楚了吧？

夜航星(02:10:03): 我知道你这手填你你你还需要验证的勾稽关系就很难弄了。

张凯(02:10:15): 验证。

夜航星(02:10:22): 你不要验证的话，那就是让他改提成比例就好了，比如说合起来是13%你你改他一个，比如说一个七，一个六。

张凯(02:10:29): 因为我提成点是别人的工资标准工资标准怎么能随便去改？

夜航星(02:10:37): 提成点是工资标准，你提成点是按？

张凯(02:10:40): 比如说，你卖路虎是5个提成点，你卖奔驰是10个提成点，怎么能随意这个月8个点，下个月5个点怎么可以随便改？是定死的。我们前面讨论的也是，比如说我比基尼98块钱，我是分配这个98的业绩。分完之后再去算他，他有多少提成？

夜航星(02:11:21): 就相当于你一个商品需要多个每多个人去分。做个美容咨询师！

张凯(02:11:27): 对。因为我们起以我们之前开会讨论过一次分配比例，我们的分配比例是前面讨论的分配比例不是提成比例。我们前面讨论的分配比例，比如说我这个98万琪分30%刘子林分73% 7分，这个98去进行三七分46分或者28分。

夜航星(02:11:58): 不是提成比例。

张凯(02:12:00): 因为提成比例是在提成矩阵里面已经设定死了？

夜航星(02:12:05): 那我可以加字加一个字段，但没不做验证行不行？

张凯(02:12:11): 不做验证。你总共加起来要小于100%小于等于100%。

夜航星(02:12:18): 那你这不是要做验证吗？那这勾稽关系不好做。

张凯(02:12:25): 那你设定死，比如说你就设定几个选项，之前我不知道邵总还记不记得只有二八，要么就100%。就分给一个人就是100%要么分给两个人，要么一个人21个人八？

夜航星(02:12:41): 你这还是要验证？

张凯(02:12:44): 验证，但是你都定死了，只有二和八三和7只能让他选。

夜航星(02:12:48): 这个倒没关系，你多少你你你想象一下这种情况哈，他比如说他这个商品明细有10个，然后他这边填一堆，然后他填完了，然后保存分配，那我到时候是提示他哪个错了，怎么提示？

张凯(02:13:07): 你说他哪个错了？

夜航星(02:13:09): 对。你二八的话，那不是相当于只设定两个人吗？最多两个人？

邵冬(02:13:23): 10个人10块钱，其中有个人填了，都是一块一块，其中有个人是1块1毛，那可能说另不是你加起来不是要一样吗？加起来是个种子，是要核对过吗？

张凯(02:13:31): 没有。这个比例我们定死了，你100%算一个选项。

张凯(02:13:53): 20%和80%然后30和7040605050就只能选这几个。

邵冬(02:14:00): 你你这里还会有你之前碰到另外一个问题，1000块钱三个人。

夜航星(02:14:10): 你所以每只至多两个人分？

张凯(02:14:12): 1000块钱三个人。

邵冬(02:14:14): 1000块钱三个人，每个人都分1/3，他算出来值是多少？我怎么确保我把多出来那1块钱给某个人，还会出现这个问题，你按比例算还会出现问题？

张凯(02:14:26): 对对对。Hello. 

夜航星(02:14:38): 诶张总是最多两个人分吗？

张凯(02:14:41): 最多是三个人。

夜航星(02:14:44): 那你这刚才设定全都两个人设定那算啥？

张凯(02:14:50): 最多是三个人。

夜航星(02:14:54): 三个人是等于不限制人数。

邵冬(02:15:00): 三个人一粒！

夜航星(02:15:04): 你假设我们假设最复杂一种情况，假设他商品明细里面有10个，那每个都三个人分，那他会分配明细会填30个。

夜航星(02:15:20): 然后他再点击保存他其中某些个填错了，那我要怎么提示他哪些填错了，他要半天检查不出来，就填报不了。

张凯(02:15:35): 美容师。

张凯(02:16:09): 那你分配的？

张凯(02:16:25): 你分配的时候好麻烦！

夜航星(02:16:49): 校验是可以做，但会比较费时间。比较费时间。

张凯(02:16:56): 我看一下我们原来的销售单在下面分配。他好像是按人，然后。

邵冬(02:17:02): 谢公能不能这样，你就不提示他是谁错了，反正就保存不了，就告诉他有错误。

邵冬(02:17:13): 这样可不可以张总？

邵冬(02:17:17): 我不给你检查错误了，我只告诉你你有错误自己检查一遍。

邵冬(02:17:25): 这样应该简单一点，我不告诉你哪一条错了，自己再检查一下，反正我这里是。

张凯(02:17:28): 比如说我们原来分配这个我好像也有一个验证，反正比如说你美容部加起来，你不能大于总金额。至于你哪错了，我也不知道你自己去看去。

夜航星(02:17:42): 我不提示他哪里错会好做很多。

邵冬(02:17:49): 不提示，反正就总总值加起来不对，反正就是你就错了，你就好好改一下，这样就好了。

张凯(02:17:55): 对。

夜航星(02:17:56): 再加一个字段，比如说叫什么业绩比例，然后给他整整的百分数去选。

张凯(02:18:09): 是的。因为我们就只有那几种分类方式，我们最多就讨论到三个人的场景。

邵冬(02:18:16): 那比如说，那刚才那个问题又拿出来说，比如说1000块钱，然后三个人分，我每个人分到333块钱嘛，那不少一块嘛。那谢工，你这边校正的时候，校验的时候，999能校验通过吗？

夜航星(02:18:19): 小数点问题哈，小数点问题。邵冬你懂吗？

夜航星(02:18:34): 这种胶片一般都是有精度的就是我。

邵冬(02:18:42): 印度是我懂你意思，那么，那我懂你意思，那你反正就是你可以就行。

夜航星(02:18:45): 计算机的校验都是有精度的校验！小邵这有金度教育还通过不了等会加起来可能会。会差一个百分点。

邵冬(02:19:09): 我已经想到办法了，你就是他看的值是333所以你存的值不一定是333让你把这个东西过掉就好了。

夜航星(02:19:20): 我知道，嫁给哪一个？

张凯(02:19:28): 我有一个疑问，就是就这个分配业绩。

夜航星(02:19:31): 你这已经算好，就相当于教练做好了，给最后一个。

张凯(02:19:36): 我们分配业绩在小程序端是怎么实现的？

夜航星(02:19:42): 小程序端一逻辑跟这一样。

张凯(02:19:48): 一样的逻辑。

夜航星(02:20:09): 你这个业绩支付会有财务上的问题吗？这次会有财务上的问题吗？这个小数点。

张凯(02:20:19): 业绩嘛。你是不是比如说1000块钱你少1分钱没问题？

夜航星(02:20:30): 就财务上会有问题吗？

张凯(02:20:32): 你按比例。它不都是按比例加起来都是正确的吗？不对。

夜航星(02:20:42): 按比例那加起来就不正确了。

张凯(02:20:45): 怎么会不正确，你就算三个人也是334，我不可能存在3.3然后3.33.3的。

夜航星(02:20:55): 那就不是完全按比例嘛？

张凯(02:20:59): 不是我的意思，比例设定好了。可能334。

夜航星(02:21:02): 你就说相当于100%就只是做整的百分数去就只让他选整的百分数？

张凯(02:21:12): 对我不能让他填个百分之对。

夜航星(02:21:17): 那没问，那你们金额会有那种本身已经是精确到分的吗？

张凯(02:21:29): 精确到分的我们定价没有，除非你说他可能碰到优惠券，那我不确定会不会碰到这种到分的优惠券没有吧？

夜航星(02:21:40): 你那几折可能就疯了。

张凯(02:21:43): 那有。那不都是那四舍五入？

夜航星(02:21:52): 四舍五入是四舍五入，我想一下四舍五入行不行，等等我等我发回来，我想一下。

夜航星(02:22:05): 不行会有差一根小数点对会差，就分那个位置会差一个。

张凯(02:22:14): 差一个一定要对上吗？不用吧！

夜航星(02:22:19): 不用没关系，不用对上没关系，就是其实员工收到钱那无所谓的，就你财务有没有关系，没关系，那就没关系了。

张凯(02:22:29): 没有关系，我们的邀规则，比如说美容师分配的，他就不能超过总金额。

夜航星(02:22:30): 那就没关系。

张凯(02:22:39): 你不能说98块钱你分了对？

夜航星(02:22:39): 超是不会超过就会少一点点，有可能会出现少少1分的情况。那没关系。

张凯(02:22:45): 1分不影响。

夜航星(02:22:52): 可以。

张凯(02:22:52): 然后第二步的情况下。我偶在关联。他有10个项目，我要选10个项目，然后再去关联。那不是往后往下要排很多？

夜航星(02:23:19): 对。之前不是说按照商品来分业绩吗？

张凯(02:23:27): 对是没错，他是要按指向来。但是界面能改一下不？

夜航星(02:23:37): 啥意思。

张凯(02:23:39): 比如说我打个比方，好像我之前发过截图的就是分配的时候，比如我点开这个我点开进去分配，然后保存，然后我再点开下面这个进去分配。

夜航星(02:23:48): 你要挪往上挪？

夜航星(02:24:04): 改也能改，我修改有点多，我怕来不及。

张凯(02:24:05): 因为因为手机端也是因为手机端也是这样子的？

夜航星(02:24:12): 改那有时间我就改好不好。

张凯(02:24:19): 可以我记得手机端好像之前发过一个分配的视频。

夜航星(02:24:25): 手机端有点忘了。这有时间就改，这属于优化项嘛！

张凯(02:24:32): 分配的话。有一个很直观的视频，我给你看。

夜航星(02:24:52): 那我理解你那个意思了，我理解你那个意思。

夜航星(02:25:00): 可以改，这可以改，我也懂你的逻辑就是这改，需要时间嘛，就是我们这个排期不知道来不来得及那个。

张凯(02:25:10): 那你先把手机端的弄，我没关系，前期的时候我可以不让他们用电脑开单？

夜航星(02:25:14): 好好。那就相当于业务管理这一块，我是先不动它。

张凯(02:25:29): 后这个外部端的可以我让他们先不要着急用嘛，先让他们用先把手机用习惯了。

夜航星(02:25:35): 可以这属于后面优化项？

张凯(02:25:46): 对。

夜航星(02:25:47): 因为说实话也不影响使用，现在只是小虎山手机端影响哈 OK 我手机端是会按照这个逻辑去做的，按照来。

张凯(02:25:54): 手机端会影响？You. 因为分配给员工的话。直接关系到他们的工资？

夜航星(02:26:10): OK。我会按优先级去排排期吧？那我们下一个。

张凯(02:26:28): 分配的之后。选择这里美容师，然后我推广员？他然后他这个验证不同部门的是不重叠的吧？

夜航星(02:26:47): 验证不同部门。这没有部门这个概念有设这不重叠？

张凯(02:26:51): 角色角色。美容师加起来可以等于98。但是并不影响推广时，不能说美容师加推广是等于98。

夜航星(02:27:05): 对各自验证。

张凯(02:27:06): 就是以角色来验证，就是美容师可以分这98，然后推广师他也可以单独拿这98，因为他们分属于不同的角色。

夜航星(02:27:18): Ok. 我们继续。

张凯(02:27:32): 这里增加验证很困难吗？

夜航星(02:27:38): 怎么说，我们开发时间不是很足了。

张凯(02:27:43): 因为我们的验证还挺多的，比如说我跨部门。

夜航星(02:27:46): 对。

张凯(02:27:57): 跨部门按品相来。品相它有品相有没有是有分配的业绩就可以算它的提成。然后我再分配一个关联这。关联的这两个？有10个，下面要搞10个。我发了一个简短的视频到群里，你们可以点开看一下。

夜航星(02:29:25): 我理解你这个逻辑了？

张凯(02:29:30): 他每选一个商品都要选一下人员的比例。

夜航星(02:29:37): 我们这个是滞后的，这个做滞后。

张凯(02:29:43): 之后也可以，但是操作其实差不多。

夜航星(02:29:44): 对是的。我理解这个逻辑了。我们下一个！

张凯(02:29:51): 好好。服务单的话。操作人对操作人。

张凯(02:30:24): 这是你的项目，然后给你划掉。没有是想不到。服务类型它好像是自动的。

夜航星(02:30:40): 不类型。

张凯(02:30:42): 它根据卖的时候单子的自动得？

夜航星(02:30:45): 不是这不是自动的？

张凯(02:30:48): 我的意思它正常是要自动的。

夜航星(02:30:51): 正常是不能自动，因为它不可能是来自多个订单。

张凯(02:31:00): 来自多个订单。

夜航星(02:31:02): 对这不很正常嘛！

张凯(02:31:04): 这个逻辑就有点冲突了。

夜航星(02:31:11): 他肯定要所有历史下过单的那些东西都可以选？

张凯(02:31:19): 对还跟我们这边还不一样，我们这里是它只能以整个单据来提取，你看我这里有一个。

张凯(02:31:33): 顾客类型，不是我们也是按。那售前售后是怎么分的？寿险售后。我邵行和邵后怎么来了？服务顾客类型是根据顾客类型来的。我这里顾客类型又分为。

张凯(02:32:21): 二是老带新顾客来源。不注意。那它这个是根据。都是自己选的无类型。

夜航星(02:32:51): 对。

张凯(02:32:55): 它有一个配置表？

夜航星(02:32:59): 他总共就这两种！

张凯(02:33:03): 无类型，我们不是这两种，我们是有。

夜航星(02:33:06): 那是个啥。你们有字段吗？

张凯(02:33:17): 我们之外，我们写的是顾客类型，这里根据顾客。

夜航星(02:33:21): 顾客类型是顾客管理那边的。

张凯(02:33:27): 顾客类，然后我们会根据顾客类型判断出一个就是顾客类型，我们是人为去选的，也不准确来说也不叫顾客类型，它是。一是售前，一是二是售后老带新服务业绩，因为我们会把服务业绩分成好几种场景，就是老带新的服务业绩了。新顾客的服务业绩多少，老顾客的服务业绩，线上的服务业绩。

夜航星(02:34:01): 那你上个什么意思？这其实你刚才说的那些都是订单那边的逻辑吗。

张凯(02:34:12): 它是跟订单的逻辑是一样的。

夜航星(02:34:18): 服务他说明他已经有了个订单了？

张凯(02:34:25): 我们要把服务业绩又区分成，比如说是老顾客带来的还是线上抖音来的美团来的？然后推广部带来的自己进店产生的，或者说老顾客产生的，我们会有这些。这个东西在哪里体现，我看一下。

夜航星(02:34:52): 这个服务单这边也要体现这种分类吗？就我感觉你刚才说的那些都属于订单的那些订单的订单性质的东西。

张凯(02:35:07): 我想起来了，能不能在这里添加字段？

夜航星(02:35:14): 你比如说要审什么字段？

张凯(02:35:15): 比如说我举个案例，比如说这个顾客，他虽然这些子项目来源于很多订单，但是它产生订单的时候，其实那个类别就已经产生了。

张凯(02:35:30): 那我后面划卡的时候，比如说我划下面这个比基尼，可能是他刚开始的时候，订单的时候，他是第一次来我们这那个消费啥的。

张凯(02:35:43): 他这里他这个子项目这里就自带了一个他当时订单的类型，比如说售前，然后后面的就是售后。

张凯(02:35:56): 那，然后他服务了之后就不用再去选了，就跟着第一次的就可以了。

夜航星(02:36:04): 读了之后。跟着第一次。

张凯(02:36:11): 订单产生的时候就已经分类好了，然后分类的时候会提取到这里来，会跟着他到这里来。

夜航星(02:36:15): 对。对。

张凯(02:36:21): 那我们做服务单的时候就不用再做一次分类了嘛？

夜航星(02:36:33): 如果他同时选两个比基尼？

张凯(02:36:36): 这两个比基尼，每一个比基尼都有它原来订单都已经确定好它。

夜航星(02:36:40): 对是售前，一个是售后。

张凯(02:36:43): 就是两个！

夜航星(02:36:46): 那服务单标签怎么怎么算？

张凯(02:36:51): 你说标签吗？

夜航星(02:36:53): 对。

张凯(02:36:55): 这个标签那就不叫不属于！

夜航星(02:37:02): 就服务我是觉得服务单做这种标签没有意义了，因为这些标签都在全部都在订单上体现了！

张凯(02:37:12): 但是你关联你不关联上的话，那就需要别人手动导出来去找。

夜航星(02:37:18): 手动导出来去找。

张凯(02:37:20): 现在他们数据组经营组，他就是有需求，比如说我需要知道我这个顾客消耗的那个项目，他是。售前的售后的老顾客？就它是跟分类跟销售的时候就关联了。

夜航星(02:37:41): 对。

邵冬(02:37:41): 你们数据组的内容是不是可以整理放到分析室去做？

