张凯(00:00:01): 群里面吗。
张凯(01:25:07): 我们原来是那种想法，但是你你给它切割开也可以，只要满足能满足我们需求就也可以。

张凯(01:25:17): 加二等于多少，因为你是把它就分成两个动作了，开单归开单分配业绩归分配业绩，我们原来的那个对接的规划就是开单的时候，比如说我选这个指向的时候。

夜航星(01:25:27): 对。

张凯(01:25:38): 就要把人选好之前跟邵总是这么对接的。

夜航星(01:25:44): 没有对步，其实步骤上只是调换了一下顺序还是一样的。

张凯(01:25:46): 结果一样对。对我没有强制，我没有要求，反正能满足就可以不。

夜航星(01:25:57): 如果不对，原来你们开单，如果是开单的时候去分配这个业绩的话，那不是相当于你们不同的回款他的。分配是一致的。

张凯(01:26:09): 不同的回款分配是一致的。夜航星。不会回款的时候我也可以选择人员！

夜航星(01:26:22): 不是话说选择这边？

张凯(01:26:26): 邵总，我估计不记得了，我之前还给他。

夜航星(01:26:27): 不是那如果你们是在开单的时候就定好的话，营业额分配是跟订单绑定的，它不是跟款项绑定的跟订单绑定的话。他所有的回款记录都会有一致的分配。

张凯(01:26:41): 对因为他回。对他回款他其实也相当于另一个新的付款单？

夜航星(01:26:54): 他所有的回款记录都会有一致的分配行，这需求我应该清楚了。

张凯(01:27:04): 我不是说你现在去改这个流程，看见他没因为你给他分割开也可以嘛。

夜航星(01:27:09): 我知道流程还是按现在这样？

张凯(01:27:20): 是电灯的，当想！

夜航星(01:27:26): 好，那营业额分配这块我清楚。

张凯(01:27:35): 现在农村你满意回去再转一盘。

夜航星(01:27:40): 营业额分配这块我清楚退款的话，积分先不用管，它还涉及到优惠券。

张凯(01:27:42): 还好吃吗。很好没事了，咱俩这。

夜航星(01:27:59): 优惠券就是相当于送给顾客了，就退款的时候。不会让顾客把优惠券吐出来。

张凯(01:28:09): 你你说的吐出来是指啥，是指？

夜航星(01:28:15): 因为我们实付金额是订单的优惠完之后的。

张凯(01:28:19): We. 优惠完之后的那不。

夜航星(01:28:24): 那这个优惠就相当于送给顾客了。Ok. 

张凯(01:28:27): 对。太复杂了，如果退款的时候要顾客退出来的话，那么所有的单价全部变了。

夜航星(01:28:32): 对是很复杂。对是很复杂。对是相当复杂，就不考虑了。Ok. 

张凯(01:28:41): 二。对那个我们就对。我这个还没下没得了！

夜航星(01:28:53): 那退款，我这边也差不多清楚了，那你这边就还有啥大大一点的那种需求。

夜航星(01:29:03): 或者什么需要沟通的吗？

张凯(01:29:07): 大一点的需求！

夜航星(01:29:11): 然后我这边6月8号这个开发反馈更新了，然后已修改的是在我们的体验版是上面已经修改了管理后台也修改了。

张凯(01:29:18): 我现在登进去可以看到吗？

夜航星(01:29:32): 对这里我填了已修改的那体验版上面就已经修改了。

张凯(01:29:37): 就是我现在登进去可以看到吗？我看一下哈，我看一下。员工端的界面改了？

夜航星(01:29:43): 对这里我填了已修改的那体验版上面就已经修改了对。他是体验版，你得走开发者工具进去。

张凯(01:29:51): 我们。小助手？

夜航星(01:29:56): 对。

张凯(01:30:07): 员工端和管理端内就是切换？

夜航星(01:30:13): 之前邵总跟我讲过那我这里再补加一个是可以的，就放在我的那边可以吗？

夜航星(01:30:25): 如果一个员工他可以切换的话，就给他就两两个视图都给他放上那个切换的按钮。

张凯(01:30:36): 两个视图用切换的按钮。

夜航星(01:30:39): 两个宿舍都放在我的里面。

张凯(01:30:42): 哪两个视图？

夜航星(01:30:43): 门店视图和管理者视图？

张凯(01:30:45): 你的互相切换可以，但是我看了一下这个体验版的。

夜航星(01:30:49): 对就不用重新登录了。

张凯(01:30:57): 员工端首页没有设置成那种大图标！大概四块。

夜航星(01:31:04): 大的那种色块。

张凯(01:31:08): 就跟我截图给你的那样子。

夜航星(01:31:12): 你说现在这种情况不行吗？

张凯(01:31:14): 这种情况我要跟老板沟通。

夜航星(01:31:19): 这不明显好看吗？

张凯(01:31:21): 因为他觉得那种好看一点。

夜航星(01:31:28): 要不你确认一下，说不定，如果不行我再改行吗？

张凯(01:31:35): 我问一下他。海鲜。就正常泡面说的是深夜吧？那就先尿酸先在整上了。来干杯姐妹们为了干了，比如为了明天的3k 干了3万。大姐喂我问他。Up better move, better the. Copilot bot. 老家都干。

夜航星(01:32:35): 那要不会先看到这里，然后在群里沟通。

张凯(01:32:40): 对可以你好，麻烦你们了！

夜航星(01:32:43): 好。那个啥，没有想唱。

张凯(01:32:53): 没事，我直接安排他们都在放。那我等你好消息了。没说错。不，你想10个男朋友一定能记得住。

夜航星(01:33:09): 还有个事情，上次说那个权限就是你你你给我发的表格。

夜航星(01:33:22): 跟现在的不太一就差的有点多。

张凯(01:33:30): 他在哪里，我调整一下在外边，你不要多吃了，我那天吃了5个，再加一个不要。

夜航星(01:33:34): 第一个是没有按照现在的那种角色分配去规划？然后。

张凯(01:33:46): 我也不。

夜航星(01:33:48): 然后你们市市场好像就是。

张凯(01:33:53): 自己才能停下来，我只做了一场市场层级。

夜航星(01:33:55): 有很多角色，你们市场层级好像就不需要了。

张凯(01:34:04): 搁在纸上给你补。我们要市场人民。

夜航星(01:34:13): 很多角色！

张凯(01:34:16): 很多部门的是不是？部门的要，但是部门的。我把他统称为员工！

夜航星(01:34:29): 很多角色对员工。我们普通员工是登不了管理后台的。就他能登，然后他啥也操作不了。

张凯(01:34:39): 市场层级。市场整体就一个财务，人事运营总监。走吧。还用吃法嘞，把星星吃了，你匹配给你！我现在把做完。

夜航星(01:35:09): 比如商学院跟品相老师。他们有很大区别吗？

张凯(01:35:18): 有一个是干业务的嘛，然后一个是干该行政，比如说商学院，它是在后台设置一些商城商品的图片。做这些做一些促销方案，比如上层的排版。品相老师是下到店里面去干业务的。

张凯(01:35:39): 工作的香江的好像是。开飞机了，我打不到，明天中午飞机明天晚。

夜航星(01:35:51): 那角色这边？

张凯(01:35:55): 我。你你先说你说角色怎么了？

夜航星(01:36:01): 角色这边可以给一个规范一点的名称，因为我这个架构设计它像总部和市场这两个层级，它名称会一样。

张凯(01:36:16): 总部和市场会一样。

夜航星(01:36:20): 他角色指的是一种权限的角色。

张凯(01:36:28): 你指的是？

夜航星(01:36:30): 比如说简化成运营，财务品相商学院。

张凯(01:36:40): 他说南方人，但是现在这个权限我总感觉很别扭，因为。可能也是因为我们那个角角色太多了，如果要精简成那么一些挺困难的。

夜航星(01:37:09): 现在角色跟你们角色也差不了多少，还有你这边的角角色。

张凯(01:37:10): 这么。

夜航星(01:37:20): 有一些不是很能理解他财务，他为什么可以开单，就是按照我理解财务，他不能介入门店的具体经营。

张凯(01:37:27): 他说你好笑的话咋地？对你说的没错，你我不好玩。我来了。我要吃门面。

夜航星(01:37:53): 或者要不你们按照现在的权限做个调整，就之前好像就提到了人事好像缺少了。

张凯(01:37:59): 通关就算通关都不。

夜航星(01:38:09): 管理权限的这个权限就别的那个权限问题好像没有提过，就是如果基于现在改是不是会方便一点？

张凯(01:38:13): first 问题。And. 就是按基于现在的改，其实我也有一个卡点就是打比方说人人事的权限哈，我可以让他看到人效，但是我举个案例哈就是。

张凯(01:38:40): 看到数据中心里面人效这个板块，但是我不希望他看到数据中心里面会员板块，但是我们现在没有切的那么细，我们现在就只能以。数据中心这个整整体这个板块给不给他？

夜航星(01:38:56): 你像要人像也可以切也，如果整体改动不大的话也是可以的。

张凯(01:39:14): 那我再提个问题，就是假如我们目前的权限功能暂时就是勉强能勉强我梳理一下，然后几个不同的部门合并一下，那权限差不多了，我合并一下，那么这种目前。是否允许以后我们去给他，比如说以后我可能要调整成。更细一点的像 workify 这样的我每一个功能的，甚至到某一个按钮，我要分分权限，这个人能按还是不能按这个能设置吗？以后能调整吗？

夜航星(01:39:57): 以后可以在代码上调整，如果你要调接口的权限就在配置表这边可以调整。

张凯(01:40:09): 怎么样某，比如说人事档案里面某一个案件人可以选人不能选，以后可以调包。我们的架构支持吗？

夜航星(01:40:23): 不能他得调代码，他的意思就是我把权限这个功能给抽象出来了，然后他。

张凯(01:40:29): 特难摸就是怕总结。

夜航星(01:40:41): 必须把这抽象出来，这段代码放到那个按钮上。就他不用改很多，但是会去改一点代码。

张凯(01:40:47): 简单。不是我想要的还是类似于那种类似于 saas 或者说像 wifi 那样子的，我可以每一个角色，每一个人我都可以给他分配不同的角色。甚至可以计划到某一个字段交通**我蒙的对交通就是在蒙的一个位置，我就不知道怎么走，但那是希望值哈，那希望是这样子。那有些我还是要我还我要配合你们这边的一些。

夜航星(01:41:24): 如果就一开始这么提出来的话是可以的，那我们现在已经开放，因为其实两个差别不大，我之所以这么做，是觉得如果给你们每个角色都去分配的话，那分配任务有点多。

张凯(01:41:45): 差别还是挺大的，就是我现在只能把某一个板块的功能全部给到这个人，实际上它能用到只是里面的某一个某一页，或者说某个字段。

夜航星(01:41:51): 对。

张凯(01:42:05): 不写。

夜航星(01:42:11): 如果你要精确到某按钮的话，是做不到的，精确到字字段它也是做不到，因为我们这个系统，它不同按钮不同字段它的结构是不一样的。

张凯(01:42:23): 那以后。

夜航星(01:42:29): 它不像 workfile，它可能都是表格中的一个空格。

张凯(01:42:34): 那以后。做 saas 系统这个问题迟早也要解决！做 saas 系统的时候我？

夜航星(01:42:40): 什么。Saas 系统。Saas 系统这种用角色去分配肯定更方便更好用。

张凯(01:42:54): 知。但是实际上你忽略了一个问题，你知道吧？

夜航星(01:43:00): Saas 系统。Saas 系统这种用角色去分配肯定更方便更好用。

张凯(01:43:02): 就是一个角色里面它还分分等级的。比如说财务它里面很多等级的财务经理，财务主管，财务助理，他们的权限是不一样的。我们把店长和运营总的权限并到一块去了，但是你说他权限能一样吗？

夜航星(01:43:27): 店长跟运营总。店长是门店层级的嘛？

张凯(01:43:41): 你设定的运营总就是市场层级的店长，他们的人一样的。

夜航星(01:43:46): 店长是门店层级的嘛，对对。

张凯(01:43:52): 要不要再见？

夜航星(01:43:56): 他们权限是一样的！

张凯(01:43:59): 实际应用中不一样，比如说财务，我财务里面我还分内审了，做纳了会计了，我举个案例哈，但他只用看流水就好了。或者说内审他只用查订单就好了，所以财务它并不是权限，全部都一样。能够开发其他的功能，这些权限也都要考虑到的。

夜航星(01:44:29): 你这么说，你可能会有几十个权限出来。

夜航星(01:44:39): 几十个权限出来，你给用户用他咋用，他给每个客户都这么分配吗？

张凯(01:44:46): 肯定的，那我们用 wifi 就这么用的！因为因为后台的人员，他和前前端不一样，前端业务你给他弄得越简单越好，但是后台 Yeah. 

邵冬(01:45:04): 能不能这样，张总就是我们现在小程序就按照谢谢工这个方案做以后做。

张凯(01:45:13): 没有说现在要改，我就跟你说以后支持我们去调整。

邵冬(01:45:20): 谢工不是说从代码层级调整吗？不要从你们后端调整吗？

张凯(01:45:32): 那就麻烦了，比如说我每次要增加某一个人的权益，我还去改代码吗？那你们那这个 saas 系统就做不出来了？

邵冬(01:45:38): Saas 系统，saas 系统。

夜航星(01:45:38): Saas 系统它就是支持不了你们这么随意去添加一个角色的！

邵冬(01:45:46): Saas 系统我可以按照 work fine 规则来做，你现在这个东西已经写到这里了，你提这个需求那我们要改东西就反反复复改了。

张凯(01:45:55): 我没有说现在改嘛，以后我前面讲了。

夜航星(01:46:00): 如果你以后要改的话，你这个系统就得像 workplan 一样，它做成一个表在那里一个空格可以给你填，而不是现在像流程一样去填报。

张凯(01:46:15): 那我是不是可以理解为你说像这种流程的，那以后它实现不了实现功能。

夜航星(01:46:22): 是的。

张凯(01:46:25): 以后如果我们做 saas 就做不出来了。

夜航星(01:46:29): 这不妨碍 saas 做不出来，因为 saas 本身不需要这种功能。

张凯(01:46:33): 怎么会不需要 saas 流程是一样的？

夜航星(01:46:40): 你每个业务它的流程是不一样的？

张凯(01:46:43): saas 的功能和小程序功能一样。So. 

张凯(01:46:55): 赵总，你理解我的意思！

邵冬(01:47:01): 我知道你你想表达的我们现在就是 workfan 的那个权限，王坤的那个构思是的确是很好的，那普通的系统不太会做成像那样的一个权限，因为。

夜航星(01:47:14): 你要做成那种权限，你得把这个系统就我们这种填报你都给他像 excel 去这样去改，那可以。你你每个页面都这么差异，这么大，那就是做不到的。

张凯(01:47:33): 为什么。

邵冬(01:47:39): 结构导致的。

夜航星(01:47:41): 你如果觉得需要这种功能，你你后管理后台，你只能做成那种每个页面你打开它就是一个 excel 表那种样子。退回到无可犯的那种状态。

张凯(01:47:59): 你没看见吗？不对，我说的不代表我们现在要改哈，那我们建好多其他的 saas 系统，它都是可以自建角色，然后自己去分配权限的。

夜航星(01:48:04): 退回到无可犯的那种状态。

张凯(01:48:15): 都到那几点吧神？

夜航星(01:48:17): 我这也可以给你去创建角色，在权限矩阵那里给你加个创建角色的入口。

张凯(01:48:28): 没有我举个案例嘛，我没有说我现在要。

邵冬(01:48:46): 我现在是管修复需求我们就放到新增里面去了，做维护的时候在做这部分东西的。我目前我觉得谢工这样做没问题！

张凯(01:49:04): 我前面说了，勉强用可以用嘛说比如说我财务，那我只能把我手底下的所有财务权限全都一样了。是不是也能将就用，我就相当于我不管你是出纳还是会计还是经理，我给你们权限全都一样。能理解我意思吧？

邵冬(01:49:25): 无非让谢工给你增加角色的权限，给你增加出来就刚他不说了吗？

张凯(01:49:35): 能解决问题也！

邵冬(01:49:37): 角色可以往后延。

张凯(01:49:43): 这个没问题，我又不着急。

邵冬(01:49:45): 角色往后延，这个角色可以增加。

夜航星(01:49:54): 那张总你那个权限管理这边有什么角色的，他权限需要调整，要么你。那么你说一下不调人的就现在样子。

张凯(01:50:10): 那我要给你发表格！我都说了，还一下子说不出来。

夜航星(01:50:16): 你可以按照现在那个角色来吗？

张凯(01:50:21): 那我要给你发表格！我都说了，还一下子说不出来。

邵冬(01:50:22): 现在的格式？

夜航星(01:50:24): 对。

夜航星(01:50:32): 我们不同的层级，它的名称会一样。

张凯(01:50:40): 对你定的名称是一样，他们权限他们其实他们角色不一样。

夜航星(01:50:46): 他们权限是一样，只不过被层级限制住。

张凯(01:50:55): 对现在是这样子我知道，所以这个需求也还好，我也没有说一定要一定要就改成不一样，就是比如说店门店的经理，他是门店的店长权限运营总监就是市场的店长权限，这个我们现在也能满足。因为我们现在还没有说拆到那么细也能满足，比如说财务的就是当下我们也能满足说可能会需要后面以后嘛，以后会需要我可能就是只要给这个人某一个字段，其他的他啥都不用看就可以了。

张凯(01:51:44): 现在我们还是希望他先跑起来。

夜航星(01:51:46): 那你就会后需要修改的地方，就是表述一下。

夜航星(01:52:05): Ok. 那还有别的问题吗？

张凯(01:52:18): 目前我没有诶！

夜航星(01:52:21): 好，那先这样。

张凯(01:52:21): 那我们就开到这里了，辛苦了拜拜！

夜航星(01:52:24): 好好拜拜。
